demsharenext,difdemshare,demofficeexp,demelectexp,othofficeexp,othelectexp
0.5809620022773743,0.10486948490142822,0,0,1,1
0.46105852723121643,0.13925209641456604,1,1,0,0
0.5434107780456543,-0.07360193133354187,0,0,0,0
0.58458012342453,0.0868215262889862,0,0,1,1
0.58028644323349,0.39935827255249023,3,3,0,1
0.6243523955345154,0.1680772304534912,4,4,0,0
0.487293004989624,0.25156256556510925,5,5,0,0
0.570964515209198,0.26750272512435913,2,2,0,0
0.5955013632774353,0.15275466442108154,3,3,0,0
0.6304118037223816,0.20239126682281494,4,4,0,0
0.7418851852416992,0.23781970143318176,1,1,0,1
0.7724427580833435,0.48799967765808105,2,2,0,2
0.7140294313430786,0.544885516166687,3,3,0,0
0.7354510426521301,0.4858052134513855,6,6,0,0
0.5805222988128662,0.48599952459335327,7,7,0,0
0.4917794167995453,0.03294479846954346,0,1,1,1
0.409508615732193,-0.013780027627944946,0,0,2,3
0.5328909754753113,-0.18098273873329163,0,0,3,4
0.4987839162349701,0.06578198075294495,0,0,4,5
0.5621175169944763,0.2653162479400635,0,0,0,0
0.5405337810516357,0.1300804615020752,1,2,0,0
0.467436820268631,0.08705806732177734,1,1,0,0
0.6506813168525696,0.19812366366386414,0,0,0,0
0.6992223858833313,0.30983108282089233,1,1,0,0
0.5337441563606262,0.3984447717666626,2,2,0,0
0.6738454699516296,0.09196370840072632,2,2,0,0
0.636181652545929,0.3476909101009369,3,3,0,0
0.597050130367279,0.2723633050918579,4,4,0,0
0.5159083604812622,1.1286139488220215e-4,7,7,0,1
0.6100881695747375,0.06648686528205872,8,8,0,2
0.5191929340362549,0.006700664758682251,0,0,1,1
0.4000037908554077,-0.053275346755981445,0,0,1,1
0.5622255802154541,-0.19999241828918457,0,0,2,2
0.5491054654121399,0.1244511604309082,0,1,3,3
0.5310924053192139,0.2779322862625122,3,4,0,0
0.5399848222732544,0.11607867479324341,4,5,0,0
0.5456405878067017,0.11542990803718567,5,6,0,1
0.5463182330131531,0.33698779344558716,8,9,0,0
0.5813485980033875,0.11188873648643494,9,10,0,0
0.4646035134792328,0.18111684918403625,10,11,0,1
0.6964566707611084,0.0540735125541687,1,1,1,2
0.6649283170700073,0.3929133117198944,2,2,0,0
0.5210433006286621,0.32985666394233704,3,3,0,0
0.7134921550750732,0.2689800560474396,2,2,0,0
0.7131965160369873,0.43275195360183716,3,3,0,0
0.420540988445282,-0.1176280677318573,0,0,1,1
0.31127363443374634,-0.14833524823188782,0,0,2,2
0.509055495262146,-0.3723379373550415,0,0,3,3
0.4795679450035095,0.01811102032661438,0,0,4,4
0.5095770359039307,0.036212652921676636,1,2,2,2
0.47328150272369385,0.019154071807861328,2,3,2,3
0.42627328634262085,-0.04079180955886841,3,4,0,0
0.3705786168575287,-0.08003586530685425,0,0,2,2
0.4163632392883301,-0.23953667283058167,0,0,3,3
0.3742290139198303,-0.16727352142333984,0,0,4,4
0.46459007263183594,-0.4078789949417114,0,0,7,7
0.27067139744758606,-0.070819854736328125,0,0,8,8
0.23437704145908356,-0.4471071660518646,0,0,0,0
0.3762889802455902,-0.5064122676849365,0,0,3,3
0.29873764514923096,-0.22828087210655212,0,0,4,4
0.4565507769584656,-0.036621153354644775,0,0,1,1
0.38074493408203125,-0.05500757694244385,0,0,4,4
0.5379787683486938,-0.2385101318359375,0,0,5,5
0.5509939193725586,0.0759575366973877,0,0,6,6
0.5906281471252441,0.3460446894168854,3,3,0,0
0.5631507635116577,0.18125629425048828,4,4,0,0
0.5474509596824646,0.12630152702331543,5,5,0,0
0.32749301195144653,-0.02435857057571411,0,0,1,1
0.5231909155845642,-0.3376302719116211,0,0,2,2
0.5036534667015076,0.04638183116912842,0,1,0,0
0.39109450578689575,-0.08840382099151611,3,4,0,0
0.26361310482025146,-0.2178109884262085,0,0,1,1
0.47247567772865295,-0.47277379035949707,0,0,2,2
0.5204945802688599,-0.0667288601398468,0,0,2,2
0.4988260269165039,0.06132104992866516,0,1,3,3
0.4767974317073822,0.17493629455566406,1,1,0,0
0.37712281942367554,-0.012190818786621094,2,2,0,1
0.5106991529464722,-0.24575436115264893,0,0,1,2
0.5661946535110474,0.2730198800563812,0,0,0,0
0.6419782638549805,0.13660281896591187,1,1,0,0
0.5895806550979614,0.2839565575122833,2,2,0,0
0.3582453429698944,-0.2796621024608612,0,0,1,1
0.3327057659626007,-0.2835092842578888,0,0,2,2
0.2562969923019409,-0.3301391303539276,0,0,3,3
0.4892648160457611,-0.3237908184528351,0,0,6,6
0.395929753780365,-0.006967991590499878,0,1,7,7
0.48553144931793213,-0.004506736993789673,0,0,1,1
0.3854964077472687,-0.02009519934654236,0,1,4,4
